the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp
,,5/20/2020,1987,negative,1/30/2021 18:20
,,3/11/2020,6,positive,1/30/2021 18:20
,,7/16/2020,3593,negative,1/30/2021 18:20
,,12/26/2020,4296,negative,1/30/2021 18:20
,,8/3/2020,3087,negative,1/30/2021 18:20
,,3/25/2020,224,positive,1/30/2021 18:20
,,8/8/2020,84,positive,1/30/2021 18:20
,,3/20/2020,153,negative,1/30/2021 18:20
,,7/21/2020,2901,negative,1/30/2021 18:20
,,1/17/2021,4890,negative,1/30/2021 18:20
,,10/20/2020,381,positive,1/30/2021 18:20
,,6/18/2020,144,positive,1/30/2021 18:20
,,5/8/2020,1597,negative,1/30/2021 18:20
,,9/24/2020,120,positive,1/30/2021 18:20
,,10/22/2020,6029,negative,1/30/2021 18:20
,,5/26/2020,245,positive,1/30/2021 18:20
,,10/8/2020,5593,negative,1/30/2021 18:20
,,6/18/2020,2267,negative,1/30/2021 18:20
,,10/29/2020,450,positive,1/30/2021 18:20
,,5/3/2020,138,positive,1/30/2021 18:20
,,8/28/2020,4494,negative,1/30/2021 18:20
,,12/29/2020,6163,negative,1/30/2021 18:20
,,3/28/2020,485,negative,1/30/2021 18:20
,,7/31/2020,140,positive,1/30/2021 18:20
,,11/24/2020,8519,negative,1/30/2021 18:20
,,9/4/2020,3940,negative,1/30/2021 18:20
,,4/26/2020,206,positive,1/30/2021 18:20
,,6/24/2020,2550,negative,1/30/2021 18:20
,,10/13/2020,5200,negative,1/30/2021 18:20
,,1/24/2021,257,positive,1/30/2021 18:20
,,7/20/2020,153,positive,1/30/2021 18:20
,,3/7/2020,6,negative,1/30/2021 18:20
,,1/9/2021,389,positive,1/30/2021 18:20
,,12/16/2020,7813,negative,1/30/2021 18:20
,,12/29/2020,795,positive,1/30/2021 18:20
,,7/9/2020,158,positive,1/30/2021 18:20
,,3/18/2020,308,negative,1/30/2021 18:20
,,9/17/2020,4323,negative,1/30/2021 18:20
,,5/15/2020,274,positive,1/30/2021 18:20
,,1/27/2021,4468,negative,1/30/2021 18:20
,,6/16/2020,116,positive,1/30/2021 18:20
,,10/12/2020,197,positive,1/30/2021 18:20
,,5/22/2020,1959,negative,1/30/2021 18:20
,,9/24/2020,4489,negative,1/30/2021 18:20
,,5/8/2020,275,positive,1/30/2021 18:20
,,1/1/2021,185,positive,1/30/2021 18:20
,,3/30/2020,457,positive,1/30/2021 18:20
,,7/29/2020,3386,negative,1/30/2021 18:20
,,4/9/2020,920,negative,1/30/2021 18:20
,,8/20/2020,125,positive,1/30/2021 18:20
,,12/6/2020,5158,negative,1/30/2021 18:20
,,7/22/2020,158,positive,1/30/2021 18:20
,,3/5/2020,9,negative,1/30/2021 18:20
,,11/11/2020,7932,negative,1/30/2021 18:20
,,9/27/2020,2966,negative,1/30/2021 18:20
,,6/6/2020,58,positive,1/30/2021 18:20
,,10/24/2020,266,positive,1/30/2021 18:20
,,10/17/2020,170,positive,1/30/2021 18:20
,,5/21/2020,300,positive,1/30/2021 18:20
,,9/11/2020,3598,negative,1/30/2021 18:20
,,11/26/2020,5994,negative,1/30/2021 18:20
,,8/7/2020,109,positive,1/30/2021 18:20
,,3/21/2020,189,negative,1/30/2021 18:20
,,12/9/2020,7977,negative,1/30/2021 18:20
,,9/5/2020,71,positive,1/30/2021 18:20
,,4/25/2020,961,negative,1/30/2021 18:20
,,12/8/2020,7410,negative,1/30/2021 18:20
,,8/13/2020,143,positive,1/30/2021 18:20
,,4/16/2020,939,negative,1/30/2021 18:20
,,11/27/2020,6111,negative,1/30/2021 18:20
,,9/19/2020,67,positive,1/30/2021 18:20
,,5/13/2020,1855,negative,1/30/2021 18:20
,,10/18/2020,176,positive,1/30/2021 18:20
,,6/5/2020,130,positive,1/30/2021 18:20
,,9/28/2020,3847,negative,1/30/2021 18:20
,,10/31/2020,289,positive,1/30/2021 18:20
,,7/21/2020,179,positive,1/30/2021 18:20
,,12/24/2020,7566,negative,1/30/2021 18:20
